video_id,datetime,title
982V2ituTdc,2025-06-15T15:00:13Z,How to Improve LLM Apps with Error Analysis
Q2HxSfS6ADo,2025-06-08T15:00:42Z,Your LLM Prompts Suck... here&#39;s how to fix them.
nSH2vZjb2TA,2025-06-01T15:01:13Z,My PhD Defense [Applied Physics and AI Research]
nPQkBGf55YA,2025-05-25T15:01:12Z,30 AI Buzzwords Explained (in 22 Minutes)
OLmKFj-_5Uw,2025-05-18T15:00:40Z,AI Essentials for Entrepreneurs (in 17 Minutes)
BUTjcAjfMgY,2025-05-11T15:00:27Z,ML Foundations for AI Engineers (in 34 Minutes)
uItWjWjH_Rs,2025-05-04T15:01:18Z,How I (Vibe) Code with Cursor + Python
N3vHJcHBS-w,2025-04-27T15:00:28Z,Model Context Protocol (MCP) Explained in 20 Minutes
6VcXukJuGA0,2025-04-21T12:00:15Z,LLM in a Loop: Automate feedback with evals
Nm_mmRTpWLg,2025-04-14T12:00:42Z,LLM Workflows: From Automation to AI Agents (with Python)
-BUs1CPHKfU,2025-04-07T12:26:44Z,How to Improve LLMs with Tools (ft. OpenAI Agents SDK)
ZaY5_ScmiFE,2025-03-31T12:38:50Z,An Introduction to AI Agents (for 2025)
Dke017sUIkE,2025-03-24T12:00:19Z,"My First $10,000 Month (as an entrepreneur)"
-sL7QzDFW-4,2025-03-17T12:00:01Z,How to Evaluate (and Improve) Your LLM Apps
-AA0xw5xeQU,2025-03-06T13:00:00Z,5 AI Projects For People in a Hurry (w/ Python)
bbVoDXoPrPM,2025-03-03T13:00:58Z,Fine-tuning LLMs on Human Feedback (RLHF + DPO)
RveLjcNl0ds,2025-02-17T15:15:03Z,How to Train LLMs to &quot;Think&quot; (o1 &amp; DeepSeek-R1)
bZr2vhoXSy8,2025-02-08T18:10:05Z,I Fine-tuned FLUX.1 on My Face (and how you can too)
QvxuR8uLPFs,2025-02-03T18:00:00Z,How to Build Customer Segments with AI (Real-World Use Case)
W4s6b2ZM6kI,2025-01-31T22:38:22Z,Fine-tuning Multimodal Embeddings on Custom Text-Image Pairs
hOLBrIjRAj4,2025-01-22T21:25:16Z,Fine-Tuning Text Embeddings For Domain-specific Search (w/ Python)
V1BR2tb_e8g,2025-01-13T21:10:47Z,My AI Development Setup (From Scratch)
CVcpOjwWDlw,2025-01-09T15:30:11Z,The Problem With AI (in 2025) #ai #software
lIuC0IVTeXI,2024-12-30T17:26:44Z,Getting a Data Science Job Was Hard Until I Learned These 5 Things #datascience #resumetips
R5WXaxmb6m4,2024-12-26T20:39:24Z,How to Build a Resume Optimizer with AI (Code Walkthrough)
RRnuZGEhneQ,2024-12-23T17:57:13Z,How I’d Learn AI in 2025 (if I could start over) #ai #python
e3p9-hYxwSQ,2024-12-17T14:29:21Z,How I’d Learn AI in 2025 (if I could start over)
rSHwqTD-FcY,2024-12-16T15:10:56Z,3 Ways to Make LLMs Multimodal #ai #multimodalai #llm
Y7pNmocrmi8,2024-12-07T21:41:10Z,Multimodal RAG: A Beginner-friendly Guide (with Python Code)
YOvxh_ma5qE,2024-11-28T18:59:44Z,Multimodal Embeddings: Introduction &amp; Use Cases (with Python)
Ot2c5MKN_-w,2024-11-20T13:31:14Z,Multimodal AI: LLMs that can see (and hear)
gUJJB235DVs,2024-11-18T15:11:07Z,5 AI Projects You Can Build This Weekend #python #ai
bAe4qwQGxlI,2024-10-25T13:18:08Z,I Built an AI App in 4 days... here&#39;s how.
4QHg8Ix8WWQ,2024-10-17T12:50:12Z,Fine-Tuning BERT for Text Classification (w/ Example Code)
tMiQIxSX64c,2024-10-10T13:50:57Z,5 AI Projects You Can Build This Weekend (with Python)
7Oy2NmPwJXo,2024-09-26T23:24:35Z,I Quit My Job… Here’s How Much I Made 1 Year Later
ZVVkdXHqEuM,2024-09-23T15:45:12Z,Knowledge Distillation Explained in 60 Seconds #deeplearning
reXoKNC_Wx4,2024-09-20T18:15:44Z,Quantization Explained in 60 Seconds #AI
9joIFeKuf04,2024-09-16T14:01:44Z,Python Explained in 60 Seconds #programming
pNg2DJ4spXg,2024-09-12T16:36:12Z,Python QuickStart for People Learning AI [Mini-Course]
FLkUOkeMd5M,2024-09-01T01:53:13Z,Compressing Large Language Models (LLMs) | w/ Python Code
kmrekqjWE8o,2024-08-26T14:15:08Z,Why You Should “Keep Going” #entrepreneurship
3JsgtpX_rpU,2024-08-16T14:02:17Z,3 AI Use Cases (that are not a chatbot)
bwW1I6JlI30,2024-08-12T17:47:20Z,How to Learn Anything #learning #shorts
3PIqhdRzhxE,2024-07-29T19:20:52Z,Local LLM Fine-tuning on Mac (M1 16GB)
y7xbHtFostg,2024-07-22T13:46:22Z,Data Science Explained in 60 Seconds
f4Gsbq10j1s,2024-07-10T13:00:45Z,"How Much YouTube Paid Me for 1,000,000+ Views (no fluff)"
TwVl4aA5qtk,2024-07-05T18:06:10Z,I Was Wrong About YouTube (what I learned)
suxHNXk5jp0,2024-07-01T19:36:39Z,Why Businesses Should NOT use #AI
baxaZI_j71I,2024-06-19T21:57:56Z,3 Reasons Businesses Should NOT Use AI
X8ZR6yFdg1Q,2024-06-17T14:12:45Z,AI Explained in 60 Seconds #ai
sxvyBxLVvKs,2024-06-13T23:44:59Z,How to Communicate Effectively (as a Data Scientist)
XQWhJsXu0sY,2024-06-07T18:32:43Z,What Nature Can Teach Us About Business...
wJ794jLP2Tw,2024-05-30T15:41:30Z,Automating Data Pipelines with Python &amp; GitHub Actions [Code Walkthrough]
pJ_nCklQ65w,2024-05-18T15:24:22Z,"How to Deploy ML Solutions with FastAPI, Docker, &amp; AWS"
6qCrvlHRhcM,2024-05-11T15:00:08Z,How to Build ML Solutions (w/ Python Code Walkthrough)
OnIQrDiTtRM,2024-05-03T12:40:43Z,How to Build Data Pipelines for ML Projects (w/ Python Code)
eayzAZltV9U,2024-04-29T13:54:55Z,4 Lessons from AI Consulting #freelancing
03x2oYg9oME,2024-04-25T15:16:00Z,How to Manage Data Science Projects
O5i_mMUM94c,2024-04-19T14:05:54Z,How I’d learned #datascience (if I had to start over) ￼
xm9devSQEqU,2024-04-18T15:59:02Z,4 Skills You Need to Be a Full-Stack Data Scientist
Z6CmuVEi7QY,2024-04-11T10:00:27Z,How I&#39;d Learn Data Science (if I could start over)
INlCLmWlojY,2024-04-04T18:45:00Z,I Was Wrong About AI Consulting (what I learned)
sNa_uiqSlJo,2024-03-29T15:57:34Z,"Text Embeddings, Classification, and Semantic Search (w/ Python Code)"
Ylz779Op9Pw,2024-03-18T17:32:21Z,How to Improve LLMs with RAG (Overview + Python Code)
XpoKB3usmKc,2024-02-27T22:52:38Z,QLoRA—How to Fine-tune an LLM on a Single GPU (w/ Python Code)
qPrVqTIkobg,2024-02-27T00:59:53Z,Difference Between #AI Chatbots and Assistants
